field1,field2,field3,field4,field5,refkey1,refkey2
soon,difficult,927.48,step,8.099,indeed,treat
not,suffer,91.84,issue,4.77,somebody,who
across,major,519.76,option,0.646,whatever,final
area,owner,890.9,state,2.876,significant,seem
consider,require,712.46,and,2.617,stand,buy
would,though,489.28,middle,2.928,country,them
laugh,source,187.55,commercial,0.718,mission,leave
garden,husband,193.72,shoulder,1.866,risk,wind
order,actually,581.47,series,3.369,sell,early
air,during,582.88,ever,8.241,total,respond
pattern,start,913.89,responsibility,3.921,experience,else
war,hot,76.69,part,5.896,seem,increase
forget,general,997.8,rich,0.515,blue,note
minute,often,479.92,hard,4.038,push,daughter
society,claim,354.64,understand,1.362,somebody,record
church,week,182.29,before,4.858,few,eight
huge,may,526.86,sound,5.815,list,team
try,table,376.98,population,1.077,sense,effort
administration,sense,584.09,different,1.071,pull,but
light,side,61.54,which,9.638,moment,then
phone,young,749.22,minute,2.856,east,short
tonight,service,111.92,budget,3.738,garden,enjoy
ability,under,597.63,program,7.529,note,late
suddenly,grow,768.42,smile,8.699,edge,government
rock,seat,78.0,speech,9.665,significant,place
take,street,420.32,finally,8.208,miss,difficult
hit,also,160.97,main,1.581,writer,very
today,suffer,614.89,similar,9.53,way,wall
miss,push,817.45,activity,1.303,trial,decade
speech,prevent,210.64,wind,6.31,outside,box
management,response,995.6,story,5.234,wind,personal
their,bill,618.55,something,2.934,book,food
service,important,920.44,exactly,1.239,themselves,for
exist,down,433.42,to,3.282,show,cup
cold,garden,17.42,image,0.707,understand,truth
tell,raise,620.67,describe,9.903,concern,apply
after,mother,304.43,month,8.846,company,meet
return,vote,678.62,those,3.555,interview,best
book,college,894.18,as,1.263,fast,tonight
hold,side,403.92,family,2.386,dream,language
state,word,591.82,middle,3.171,group,radio
attorney,official,593.21,small,9.002,knowledge,growth
two,answer,577.39,financial,2.882,attention,month
us,only,313.66,political,7.481,rise,address
resource,participant,213.81,my,7.484,here,business
off,let,227.94,free,5.976,people,strategy
president,color,330.48,dark,2.081,unit,design
thank,paper,526.97,down,5.296,machine,rate
option,community,300.27,step,8.583,state,cultural
live,culture,628.89,when,5.861,include,lead
ball,return,359.2,away,4.123,group,light
put,minute,26.44,class,2.887,attack,avoid
wall,hotel,144.25,matter,5.749,sister,either
morning,weight,482.87,simple,5.969,camera,north
lawyer,teacher,122.48,civil,7.96,show,house
fly,west,627.65,drug,8.67,job,produce
own,source,663.06,parent,1.964,factor,air
detail,degree,842.85,next,1.469,meeting,road
sit,present,492.58,let,9.482,still,kitchen
outside,wish,265.03,develop,1.204,bag,yet
need,black,829.99,college,0.608,page,top
evening,ever,881.02,chance,5.842,south,room
century,military,264.36,lay,0.851,boy,stage
suggest,often,387.9,ok,8.706,painting,his
total,service,184.72,still,4.367,fall,bank
individual,discover,438.54,political,3.655,democratic,message
amount,evidence,499.05,spring,2.788,four,Democrat
great,personal,967.58,unit,4.498,expect,option
spend,protect,890.26,fall,9.768,carry,recently
thing,idea,221.35,look,0.317,instead,center
when,head,642.33,Mrs,9.278,central,story
learn,those,58.11,nature,8.813,management,turn
state,more,204.63,partner,7.943,party,however
personal,hope,704.27,item,0.796,into,themselves
list,century,678.51,wide,1.501,real,financial
never,key,814.76,name,6.122,actually,arm
gun,opportunity,174.93,follow,1.497,also,remain
far,of,302.1,simple,3.902,good,really
professional,major,307.85,order,5.451,weight,ahead
learn,and,598.76,have,2.972,will,system
off,think,932.73,three,8.352,thought,sort
ready,Congress,202.42,worry,0.266,if,six
kitchen,fill,62.92,day,5.148,level,range
professional,name,457.82,stand,7.778,sea,popular
property,for,664.52,need,5.77,shoulder,positive
above,admit,495.3,police,7.863,enter,see
management,its,10.41,perform,0.211,partner,organization
station,bring,550.71,prepare,5.055,once,page
network,first,961.43,forward,3.055,local,light
from,role,40.81,get,3.825,help,want
shake,card,898.06,source,8.216,never,director
future,under,404.19,head,3.446,first,brother
ground,how,991.89,trouble,0.539,along,hour
development,employee,697.59,family,9.548,thing,author
chance,defense,997.24,on,7.85,suddenly,care
teach,forward,506.1,arrive,9.548,in,why
growth,pull,528.71,physical,2.351,treatment,interesting
majority,history,163.67,under,6.664,trouble,draw
economic,decade,570.44,tend,7.411,per,individual
box,simple,938.48,financial,2.022,final,tree
seven,because,829.23,study,8.439,their,agent
piece,have,345.69,main,3.566,tend,seven
gun,decision,442.02,mean,5.676,she,medical
professional,avoid,392.74,leg,0.181,movie,community
billion,eye,570.37,fear,0.493,control,coach
sit,strategy,455.21,Mr,8.615,still,until
few,result,540.67,between,3.512,truth,reality
politics,white,739.84,nor,7.42,add,song
role,five,291.64,former,4.782,why,mother
actually,ever,460.3,why,9.534,society,friend
college,share,109.62,anyone,3.786,increase,until
evidence,stuff,855.77,yourself,8.15,radio,recently
beautiful,present,961.8,question,0.3,simply,we
for,sing,147.48,however,7.658,allow,just
always,watch,77.77,standard,1.255,every,experience
discover,ahead,99.2,prove,5.555,its,partner
structure,manage,632.33,amount,2.879,medical,cost
everything,possible,279.0,style,2.03,push,piece
against,certain,182.67,reflect,6.023,which,everyone
traditional,economic,421.32,avoid,1.431,business,gas
range,cover,198.42,employee,2.239,next,common
nation,put,14.42,air,8.774,something,despite
little,sit,674.49,important,2.408,old,his
prepare,maybe,432.1,fast,7.333,million,seven
could,style,362.27,rule,1.302,bring,question
benefit,difficult,957.76,democratic,1.421,head,popular
total,tough,162.6,partner,4.025,organization,vote
event,action,769.61,activity,7.749,father,three
animal,coach,706.07,difficult,5.769,box,clearly
away,onto,909.92,air,4.604,task,something
unit,need,489.16,western,6.532,mind,behavior
heavy,service,331.14,threat,8.295,place,close
enjoy,new,846.38,indeed,2.551,according,surface
turn,statement,306.61,deal,4.477,difference,lawyer
nearly,tax,672.18,on,0.991,song,choose
outside,recognize,440.81,voice,4.729,feel,cause
law,manager,470.17,knowledge,6.174,rule,job
meet,ready,159.53,hand,2.313,similar,mouth
then,own,229.59,plan,6.316,model,relate
vote,guy,938.73,clearly,5.521,throw,foreign
low,even,246.02,trouble,5.302,food,anything
face,traditional,143.42,nation,9.615,stay,wide
understand,for,607.78,later,1.506,property,benefit
weight,commercial,663.92,house,0.374,perform,again
weight,run,727.09,law,8.98,cost,minute
back,health,971.48,visit,8.424,technology,feel
tell,fill,396.43,market,7.032,upon,father
thing,somebody,377.41,face,9.584,play,set
ok,allow,589.91,include,4.478,cold,form
allow,sort,15.32,must,2.902,state,image
today,land,567.66,serious,1.261,attack,sell
position,former,813.01,finish,6.3,girl,conference
lot,theory,263.11,green,3.828,more,or
risk,you,692.18,likely,4.065,force,rest
public,development,856.19,glass,3.886,what,knowledge
would,itself,450.5,discussion,9.718,her,role
fish,themselves,529.19,tax,8.706,model,hour
simple,none,60.7,bar,4.077,option,main
physical,white,602.15,center,4.381,seat,power
this,you,461.35,professor,3.817,true,value
nor,amount,30.65,much,1.576,heavy,prepare
until,rate,502.31,tonight,1.358,ground,idea
middle,response,899.22,chance,7.882,their,recognize
professional,heart,69.83,account,0.831,compare,officer
send,law,732.24,hot,1.766,phone,close
quickly,month,117.75,plant,4.065,church,court
among,detail,638.09,west,6.664,suggest,realize
but,move,850.8,environmental,5.385,ability,bar
individual,ability,358.2,charge,7.122,culture,everyone
responsibility,recognize,322.52,its,2.023,carry,property
type,single,889.16,detail,7.495,choose,cultural
girl,go,465.77,sport,6.792,ten,someone
likely,hard,187.99,idea,0.856,put,edge
sure,budget,651.64,executive,7.157,company,policy
energy,fish,498.19,agreement,7.008,couple,whatever
election,wish,894.16,appear,8.821,since,president
test,national,274.12,well,6.05,trial,two
power,film,99.89,accept,9.324,leg,only
raise,moment,13.11,candidate,2.302,west,page
suffer,now,483.55,dark,6.592,least,condition
film,head,194.56,any,8.498,war,already
maintain,fill,521.17,health,2.662,amount,include
door,animal,325.75,here,9.854,window,week
guess,rather,847.6,head,9.597,wear,significant
statement,half,319.58,evening,7.633,decision,add
I,fund,507.95,or,4.274,about,else
truth,table,639.5,minute,9.12,recognize,task
car,three,663.47,option,6.795,talk,event
within,on,368.29,over,6.521,more,certain
final,whether,326.54,TV,3.812,pattern,good
account,medical,262.62,least,3.262,size,message
director,response,279.17,modern,3.62,talk,benefit
full,compare,166.4,see,2.005,mention,thank
fly,project,972.07,staff,5.764,boy,institution
federal,scene,291.43,energy,8.836,total,light
art,why,505.65,defense,3.696,century,very
big,phone,227.49,factor,3.283,yeah,peace
expert,ago,242.53,control,2.835,appear,fact
today,well,73.88,clearly,5.065,quite,amount
executive,sing,359.5,clearly,7.123,seem,mean
certainly,least,402.12,century,4.904,bar,evening
capital,quite,82.63,red,8.765,young,me
executive,their,829.62,sign,0.925,break,heavy
travel,pattern,947.8,around,5.638,simply,argue
history,myself,853.67,agency,5.712,scientist,their
when,most,14.62,material,1.414,usually,nature
gun,difficult,55.29,example,6.453,teach,person
use,reach,730.54,almost,2.635,leg,record
friend,join,478.86,ask,4.392,executive,enter
development,far,541.09,may,2.285,sign,worry
voice,fire,243.46,cost,2.495,management,interest
possible,participant,343.06,let,0.554,everything,world
score,event,403.47,size,7.112,skill,foot
material,difficult,391.67,face,5.648,decide,institution
detail,child,100.55,program,6.215,lose,opportunity
up,goal,719.55,must,7.975,agree,who
set,think,886.62,data,8.771,your,I
other,imagine,725.33,economic,2.723,heart,television
audience,data,636.24,compare,9.861,control,if
maintain,behind,366.38,north,7.227,question,officer
trial,include,816.82,follow,3.462,whatever,career
worry,approach,233.18,which,9.724,agency,TV
pay,travel,505.1,too,1.836,knowledge,be
later,town,659.96,laugh,3.811,something,look
attention,security,4.15,medical,7.308,pull,hand
agree,trip,170.01,maintain,1.867,win,base
for,any,381.76,risk,1.543,learn,major
page,grow,710.36,watch,0.846,admit,but
far,ten,754.18,provide,4.352,share,meeting
husband,would,491.6,increase,8.449,analysis,job
ten,high,775.93,begin,1.561,how,eight
personal,present,993.18,fly,2.243,natural,hand
film,five,678.01,right,0.562,leader,from
world,upon,874.59,involve,9.892,huge,present
conference,see,746.91,understand,0.603,building,less
win,lead,410.09,admit,4.467,course,large
notice,in,888.1,between,3.936,role,such
street,ask,484.14,coach,6.113,everyone,garden
option,your,736.18,more,7.491,seem,threat
century,social,44.81,inside,7.856,artist,month
war,station,490.8,apply,3.746,result,less
year,size,923.45,store,0.342,whole,news
raise,agency,843.84,vote,6.554,year,try
involve,whatever,308.45,miss,1.714,safe,rest
despite,magazine,418.05,certain,6.393,first,him
to,radio,367.6,citizen,5.963,end,thank
arm,century,840.8,second,3.099,exactly,generation
himself,size,141.55,American,3.213,score,appear
health,effect,116.79,personal,2.344,rule,federal
now,others,577.58,company,5.172,civil,say
could,put,270.1,along,3.786,interesting,life
total,in,991.46,take,9.221,consumer,alone
forget,century,447.28,relate,4.536,never,should
pattern,mention,302.24,quality,1.373,stand,call
employee,your,876.31,certain,2.825,be,practice
form,tough,788.98,dark,2.89,election,make
anything,hundred,446.93,smile,2.29,Democrat,so
particular,Mrs,777.7,term,6.468,physical,meet
TV,your,622.46,process,7.683,citizen,plant
in,hair,529.95,financial,8.398,military,general
program,recently,889.09,per,4.382,walk,the
deal,important,595.36,all,5.983,improve,adult
agreement,TV,539.62,response,5.251,control,cup
staff,meeting,233.0,quality,2.041,look,though
realize,central,168.74,later,6.293,prepare,tough
recent,old,959.64,week,2.532,ball,anyone
light,your,592.72,military,8.06,beautiful,meeting
put,father,843.53,property,5.424,prove,prevent
success,produce,607.83,lead,2.129,everyone,interview
bar,available,719.94,among,4.595,government,ability
audience,especially,964.3,down,9.526,before,deep
why,instead,541.54,plan,9.891,behind,at
value,she,431.78,if,1.79,head,perform
politics,factor,57.93,though,6.857,require,change
design,decade,253.42,trial,7.94,college,participant
resource,prevent,822.06,military,5.025,I,attack
finish,deal,978.15,despite,5.325,class,huge
site,skin,937.75,much,3.185,believe,growth
start,administration,508.78,affect,3.888,office,until
indicate,old,463.01,music,6.825,recent,day
while,then,146.67,drop,6.492,mean,foot
memory,behind,438.68,hot,1.767,dinner,culture
long,husband,364.26,hair,5.426,laugh,economic
TV,treat,178.35,affect,7.115,these,well
rate,check,287.7,give,3.362,end,first
sense,size,719.75,another,6.096,seek,least
meet,heart,434.89,finally,6.406,some,build
film,space,316.59,whole,1.894,result,federal
learn,probably,784.71,claim,4.235,should,chance
court,certain,434.0,its,9.04,would,why
child,usually,559.4,decision,8.386,yourself,three
about,learn,896.3,catch,5.376,up,mean
hotel,tree,440.74,economic,7.181,process,early
itself,clearly,723.13,increase,0.802,good,month
thousand,himself,144.38,black,4.765,character,cover
party,operation,595.83,since,8.555,agree,writer
say,size,167.79,foot,6.783,store,almost
unit,past,817.04,put,0.553,up,success
television,husband,865.79,appear,0.105,begin,fear
year,relate,961.97,west,5.555,bring,Mrs
somebody,arm,599.67,fight,7.617,watch,draw
course,else,429.73,evening,3.447,family,edge
something,ok,957.74,good,4.265,current,generation
central,international,951.57,these,7.575,try,exactly
tree,recent,653.99,water,5.984,soldier,score
Mrs,never,80.65,relationship,3.424,site,bar
director,decision,400.84,throw,1.883,picture,operation
mother,out,194.23,degree,5.481,alone,truth
get,source,762.86,read,7.096,why,feel
believe,fund,731.11,Mr,5.567,fund,game
either,particular,101.23,power,3.181,that,understand
